Image,level
w_9203,42
w_498,385
w_3272,305
w_393,331
w_574,67
w_8022,109
w_6265,72
w_6971,163
w_1777,441
w_2965,265
w_2214,167
w_202,191
w_3853,407
w_246,130
w_152,151
w_1866,248
w_3376,183
w_2415,145
w_3032,432
w_1091,43
w_7248,136
w_4124,140
w_990,51
w_2795,263
w_4199,147
w_2123,19
w_998,26
w_698,438
w_2342,341
w_8553,206
w_4905,305
w_4120,178
w_8728,109
w_576,232
w_2970,83
w_5445,398
w_4879,31
w_6250,396
w_4255,22
w_9301,274
w_7088,327
w_896,308
w_3589,221
w_1707,168
w_9025,114
w_3036,300
w_2210,64
w_4501,317
w_4085,350
w_6189,416
w_1056,195
w_6197,114
w_6876,21
w_1270,182
w_2030,145
w_1629,55
w_1720,176
w_3713,371
w_5188,389
w_2022,242
w_2895,352
w_4424,42
w_7975,262
w_8891,326
w_1159,221
w_5127,409
w_7911,224
w_1504,22
w_6241,204
w_7879,412
w_1040,370
w_8142,122
w_988,159
w_7340,198
w_6527,149
w_481,106
w_1760,423
w_2441,393
w_6055,175
w_1399,167
w_6796,197
w_8999,132
w_5053,289
w_260,179
w_6901,339
w_8056,265
w_2943,331
w_6891,435
w_8010,85
w_1070,51
w_4748,354
w_5594,133
w_7339,378
w_1621,438
w_8928,51
w_2729,59
w_3434,370
w_2091,234
w_9250,295
w_5037,104
w_1673,286
w_6249,287
w_1331,199
w_293,163
w_8540,342
w_756,248
w_5678,43
w_6467,337
w_2335,284
w_5216,299
w_273,190
w_3796,80
w_6165,106
w_1825,377
w_165,391
w_8917,83
w_2627,365
w_3054,363
w_7177,183
w_7121,348
w_39,130
w_5828,157
w_6137,364
w_7529,347
w_3734,99
w_5686,317
w_7406,51
w_1816,431
w_3456,57
w_7646,401
w_2630,425
w_783,377
w_5086,150
w_7830,129
w_1229,68
w_5489,426
w_8823,217
w_2491,20
w_4926,140
w_4566,419
w_2959,170
w_6433,219
w_7032,325
w_8860,209
w_3389,416
w_9369,48
w_8328,114
w_1350,43
w_790,372
w_2904,189
w_2973,239
w_6543,238
w_7965,111
w_5605,118
w_5522,79
w_2855,409
w_9446,419
w_2360,316
w_4993,258
w_3869,361
w_4004,373
w_2850,131
w_9114,326
w_3103,159
w_1918,277
w_1767,129
w_606,371
w_8257,30
w_3346,237
w_1923,111
w_9130,142
w_2892,81
w_6180,179
w_2724,276
w_5660,442
w_3488,318
w_7377,334
w_9452,81
w_965,69
w_7953,313
w_2174,68
w_5435,419
w_3664,393
w_2324,195
w_6616,150
w_9155,32
w_8098,12
w_6192,305
w_5986,151
w_8466,59
w_8155,136
w_2799,386
w_8200,311
w_644,410
w_2188,90
w_1124,377
w_3913,422
w_8394,349
w_1003,219
w_3690,362
w_6275,274
w_6657,307
w_468,274
w_1,321
w_1653,245
w_6013,378
w_5479,224
w_5276,400
w_2958,166
w_2244,12
w_5081,339
w_376,357
w_6615,312
w_705,350
w_1798,169
w_6740,244
w_554,175
w_3198,304
w_1297,218
w_6414,378
w_5657,213
w_4542,363
w_556,236
w_507,206
w_5551,346
w_439,150
w_1913,347
w_3398,360
w_4906,145
w_4247,234
w_4074,301
w_3851,272
w_5299,302
w_3631,413
w_5592,373
w_1414,155
w_5964,218
w_4489,130
w_5967,184
w_3448,363
w_2769,227
w_4419,29
w_4284,292
w_7450,439
w_8434,179
w_4883,388
w_5488,198
w_6413,22
w_6056,153
w_4491,181
w_9349,296
w_5359,184
w_1079,435
w_4824,344
w_6476,411
w_7443,325
w_1246,46
w_1696,161
w_7773,115
w_6805,217
w_8554,343
w_9409,58
w_1993,277
w_6142,213
w_2026,20
w_8374,300
w_5054,110
w_2055,159
w_6495,240
w_4827,146
w_9167,326
w_4091,102
w_2984,385
w_4177,424
w_7914,380
w_5064,284
w_7548,383
w_2312,135
w_7612,383
w_6866,349
w_8020,161
w_6957,81
w_6544,161
w_2151,185
w_1290,241
w_8561,80
w_4308,175
w_830,61
w_599,394
w_120,23
w_8352,312
w_8287,123
w_6619,188
w_5430,368
w_3435,85
w_9330,344
w_6463,281
w_5456,212
w_8030,24
w_9107,192
w_3550,409
w_9356,281
w_4591,10
w_1727,283
w_2419,416
w_5340,278
w_6059,257
w_6551,391
w_479,246
w_137,51
w_461,335
w_4843,120
w_3683,435
w_2230,115
w_2683,81
w_1486,331
w_1591,309
w_9291,279
w_301,158
w_5985,203
w_7842,239
w_3372,227
w_5890,176
w_3396,352
w_8234,236
w_3269,155
w_7195,85
w_3495,275
w_2703,219
w_8151,381
w_6342,373
w_592,115
w_3719,435
w_2735,158
w_1811,310
w_4803,290
w_5789,411
w_2794,31
w_8397,104
w_4037,28
w_8767,60
w_1160,98
w_4045,247
w_2766,231
w_8452,323
w_3090,354
w_2067,377
w_4586,240
w_851,290
w_3742,445
w_1730,379
w_3041,230
w_3992,409
w_499,6
w_7078,17
w_1257,23
w_1368,12
w_6988,429
w_4298,307
w_8051,441
w_5350,426
w_2277,423
w_4309,387
w_4584,254
w_5575,176
w_1235,239
w_5618,261
w_7524,7
w_4479,181
w_3786,330
w_4005,334
w_7297,346
w_6912,223
w_7718,243
w_7162,105
w_4709,200
w_8236,423
w_2903,394
w_1516,321
w_5458,54
w_3988,241
w_3418,170
w_7390,405
w_4519,242
w_975,217
w_5875,128
w_6655,418
w_8615,91
w_4010,28
w_3258,176
w_3612,243
w_2370,218
w_6698,302
w_6943,179
w_944,176
w_3242,212
w_9417,63
w_1858,261
w_1861,137
w_5007,285
w_5370,286
w_1950,149
w_1400,118
w_3187,426
w_4429,425
w_9094,184
w_9196,312
w_4887,106
w_160,129
w_3884,391
w_7314,170
w_3826,170
w_1154,261
w_8373,275
w_738,222
w_3039,75
w_4578,258
w_5819,2
w_5096,286
w_5417,30
w_9249,302
w_9227,378
w_7770,150
w_1470,325
w_8314,424
w_1118,407
w_2758,425
w_7423,19
w_5383,157
w_5122,246
w_2043,105
w_1836,301
w_350,163
w_8477,421
w_7477,43
w_1542,264
w_2069,439
w_5107,241
w_2158,120
w_9472,1
w_3933,25
w_4943,29
w_5284,293
w_1719,437
w_8729,237
w_7836,315
w_44,139
w_7840,89
w_8967,187
w_5095,43
w_4475,283
w_8587,83
w_8359,136
w_7380,190
w_8013,205
w_578,115
w_6713,49
w_8814,322
w_1181,272
w_7635,84
w_1972,426
w_3365,431
w_6170,279
w_2124,118
w_1232,391
w_1255,24
w_3012,120
w_3479,386
w_2243,290
w_3938,407
w_6279,363
w_1698,89
w_4638,178
w_4385,117
w_9341,199
w_9221,351
w_539,178
w_6920,25
w_3942,407
w_6403,17
w_8181,299
w_1358,51
w_3294,371
w_3496,222
w_3473,435
w_4263,219
w_8973,51
w_932,70
w_8949,163
w_32,371
w_7796,258
w_6177,31
w_7868,304
w_1998,437
w_6252,50
w_7860,380
w_5504,262
w_107,151
w_328,283
w_4233,168
w_5550,217
w_4618,172
w_4697,103
w_2787,312
w_5104,326
w_486,110
w_8835,391
w_4052,278
w_6178,118
w_5103,217
w_3112,392
w_743,246
w_6786,300
w_6553,180
w_1937,147
w_9262,307
w_5891,58
w_7214,203
w_2842,434
w_6597,21
w_4937,129
w_6109,193
w_3681,131
w_3999,336
w_7752,374
w_3921,106
w_5917,120
w_1887,371
w_7207,38
w_1988,135
w_7166,209
w_2948,383
w_9439,320
w_8413,45
w_2460,347
w_6388,151
w_8842,189
w_8859,407
w_1859,252
w_9395,243
w_2157,285
w_4788,410
w_2656,129
w_2352,124
w_6562,299
w_4630,147
w_9058,416
w_5978,268
w_3568,213
w_3265,81
w_5962,89
w_3034,381
w_9136,264
w_5461,307
w_67,32
w_4876,104
w_6071,154
w_2281,150
w_6019,427
w_1671,133
w_241,149
w_7519,266
w_6459,358
w_6236,86
w_9319,178
w_2416,142
w_4100,111
w_3472,424
w_3400,281
w_2502,147
w_1242,371
w_2094,245
w_4708,438
w_4452,416
w_3490,23
w_9373,163
w_8648,213
w_5152,95
w_9044,389
w_1125,93
w_8481,422
w_7599,128
w_1483,156
w_673,234
w_1804,62
w_6248,159
w_4975,187
w_4987,432
w_1522,407
w_8851,346
w_1446,73
w_8511,162
w_3846,336
w_4362,86
w_5518,231
w_9255,301
w_7731,50
w_2565,311
w_4856,428
w_7659,329
w_3087,289
w_1163,19
w_38,381
w_8095,157
w_7023,315
w_239,340
w_9352,194
w_9267,357
w_49,401
w_7169,17
w_809,277
w_8654,91
w_4065,390
w_50,222
w_7784,72
w_371,110
w_1546,426
w_664,346
w_5495,440
w_2710,109
w_6682,293
w_2775,33
w_5876,82
w_3487,388
w_8948,383
w_6890,234
w_7029,385
w_1444,286
w_1330,432
w_4044,176
w_121,413
w_9292,424
w_3050,283
w_7699,381
w_6694,313
w_4620,215
w_6878,239
w_8355,390
w_7558,416
w_558,82
w_5920,246
w_1461,343
w_4270,391
w_411,414
w_6283,178
w_3086,414
w_6188,120
w_9383,89
w_7284,269
w_9416,218
w_1982,248
w_7148,135
w_3829,255
w_2240,429
w_2307,357
w_675,190
w_4171,49
w_8382,217
w_2241,344
w_1876,267
w_852,407
w_3968,276
w_3716,245
w_5244,261
w_5288,437
w_5730,193
w_4243,383
w_7300,303
w_208,437
w_7293,38
w_9238,300
w_5212,380
w_3082,289
w_3673,7
w_688,386
w_8732,278
w_7636,18
w_3246,419
w_2938,302
w_1885,86
w_3769,340
w_2288,304
w_4470,407
w_6080,251
w_200,352
w_6749,246
w_8775,399
w_2223,370
w_1080,116
w_1465,157
w_9228,34
w_7939,188
w_2520,141
w_7797,135
w_356,136
w_3940,389
w_7055,215
w_3736,0
w_4193,239
w_5630,382
w_6306,55
w_2825,216
w_3518,440
w_4750,265
w_925,245
w_8445,157
w_1236,414
w_2505,427
w_3378,86
w_7373,140
w_2155,399
w_8693,347
w_4609,142
w_902,372
w_7533,412
w_3404,222
w_5761,261
w_787,196
w_3666,114
w_5447,255
w_6715,403
w_1162,192
w_1452,349
w_2489,289
w_8892,298
w_808,283
w_8354,292
w_671,322
w_1549,62
w_7766,255
w_5066,161
w_3679,370
w_2947,18
w_5543,223
w_2154,353
w_6069,138
w_3511,393
w_4081,252
w_7499,13
w_596,232
w_3837,426
w_5625,324
w_47,437
w_5336,225
w_6347,38
w_1492,224
w_929,346
w_7527,244
w_5481,230
w_2803,354
w_871,321
w_4634,42
w_6072,382
w_9160,354
w_6033,223
w_5466,80
w_8321,394
w_3107,138
w_4027,136
w_4015,234
w_1097,80
w_7905,284
w_4751,338
w_1017,338
w_4809,341
w_2097,157
w_3301,107
w_6320,357
w_5548,315
w_4478,163
w_3932,319
w_718,86
w_2205,190
w_7460,251
w_2811,263
w_4361,80
w_630,23
w_7990,169
w_7238,381
w_3757,48
w_8080,370
w_9385,312
w_638,81
w_2562,159
w_769,285
w_8194,127
w_8130,400
w_3990,135
w_9388,322
w_3371,38
w_2344,393
w_7724,23
w_4690,95
w_5146,89
w_8623,275
w_368,137
w_463,106
w_9462,220
w_6395,425
w_3384,149
w_2390,301
w_1370,118
w_4468,418
w_2875,382
w_4366,234
w_8660,268
w_5077,115
w_4342,414
w_1075,301
w_7580,286
w_6043,25
w_7363,254
w_2283,357
w_5268,86
w_8424,85
w_1304,152
w_8904,171
w_5174,160
w_9142,422
w_951,242
w_9251,17
w_3797,208
w_920,425
w_9069,188
w_1342,96
w_8383,176
w_5003,194
w_2202,239
w_2024,111
w_6224,414
w_7424,19
w_2527,391
w_2757,175
w_5320,347
w_1842,389
w_1185,149
w_2666,47
w_8981,230
w_5130,425
w_340,174
w_4265,290
w_7980,307
w_396,265
w_9037,40
w_7151,198
w_5454,26
w_3919,337
w_285,122
w_801,320
w_4427,419
w_2567,166
w_5997,414
w_8836,266
w_7695,239
w_5692,289
w_4728,219
w_5834,314
w_1203,11
w_8239,82
w_4060,319
w_7221,9
w_8230,347
w_6348,362
w_5836,346
w_9000,348
w_1300,445
w_7167,232
w_7226,51
w_3016,176
w_8712,383
w_5432,402
w_415,171
w_8069,4
w_4447,222
w_1533,115
w_6339,222
w_4849,445
w_843,281
w_4610,140
w_321,401
w_5273,169
w_2637,425
w_7198,218
w_5895,360
w_4948,248
w_2528,206
w_8753,91
w_7661,132
w_2060,234
w_5411,161
w_1728,232
w_7224,439
w_4830,86
w_1379,20
w_5361,224
w_4269,148
w_3714,313
w_8348,334
w_610,125
w_7943,175
w_7973,52
w_8501,166
w_6302,390
w_4407,326
w_1318,89
w_7364,141
w_6329,163
w_6158,424
w_9014,236
w_857,106
w_5757,374
w_1810,328
w_9290,159
w_3094,355
w_5133,23
w_1511,330
w_2480,150
w_3856,142
w_1014,261
w_1509,67
w_3118,39
w_7827,241
w_2849,157
w_7577,82
w_3451,396
w_8780,10
w_1302,313
w_7804,375
w_2890,51
w_2208,59
w_3445,145
w_7471,84
w_8873,190
w_2403,273
w_8991,413
w_2137,326
w_9038,363
w_8097,244
w_8778,34
w_2756,258
w_6595,304
w_2264,265
w_1666,129
w_8947,369
w_8525,237
w_5555,0
w_8735,173
w_6204,181
w_9132,441
w_4363,366
w_7201,275
w_8856,426
w_5425,387
w_1597,253
w_2297,38
w_2792,136
w_9146,346
w_2007,48
w_7697,84
w_7065,403
w_5124,107
w_6343,437
w_5190,290
w_6187,80
w_5589,289
w_3432,104
w_9121,277
w_4209,108
w_9339,416
w_3006,49
w_6127,117
w_6687,188
w_4907,29
w_2573,377
w_8207,104
w_8639,117
w_3441,380
w_6963,198
w_8315,394
w_3411,278
w_6924,426
w_6606,112
w_3536,283
w_6020,106
w_2813,363
w_785,242
w_5303,178
w_2271,190
w_4495,288
w_5233,139
w_6907,48
w_957,161
w_4527,53
w_5110,236
w_4837,365
w_8018,168
w_4059,106
w_9405,238
w_9026,315
w_7382,292
w_1029,364
w_1567,328
w_4043,114
w_434,35
w_6436,183
w_7613,337
w_8894,438
w_3115,405
w_8125,81
w_7273,15
w_6850,259
w_5944,206
w_5471,367
w_856,23
w_8535,175
w_7923,31
w_1612,386
w_172,238
w_5144,414
w_9006,318
w_3314,355
w_8720,202
w_1243,117
w_6669,385
w_483,65
w_454,264
w_7618,231
w_8888,156
w_1004,315
w_6780,315
w_6868,346
w_8059,255
w_1787,307
w_2296,371
w_146,252
w_4573,150
w_2245,115
w_5703,241
w_5814,244
w_7634,331
w_7846,373
w_3089,307
w_8078,330
w_2229,76
w_7764,303
w_7001,150
w_2263,87
w_3674,301
w_2731,262
w_8152,3
w_2983,323
w_1467,207
w_1490,25
w_3601,24
w_4038,234
w_5182,87
w_4188,110
w_2424,272
w_2496,101
w_9149,36
w_3098,372
w_1622,42
w_2167,119
w_5954,68
w_6923,143
w_8826,132
w_1742,40
w_8914,7
w_5918,370
w_5929,89
w_4702,391
w_7103,368
w_8171,271
w_8036,299
w_6367,3
w_1573,279
w_5640,100
w_5970,374
w_5830,136
w_7018,391
w_1133,151
w_7745,403
w_7333,323
w_9175,80
w_518,170
w_6733,393
w_456,331
w_150,399
w_418,238
w_1038,189
w_3537,169
w_5794,170
w_6732,183
w_3945,114
w_2583,244
w_725,316
w_3885,377
w_3586,160
w_3422,410
w_4162,198
w_1006,213
w_489,142
w_1136,366
w_3215,105
w_3052,55
w_2721,142
w_3156,413
w_6337,99
w_9017,352
w_9083,49
w_2487,189
w_3842,227
w_6355,425
w_7045,425
w_4208,163
w_8659,192
w_1824,126
w_1751,142
w_1427,62
w_6182,229
w_6964,407
w_6533,400
w_6271,141
w_3123,51
w_6689,105
w_712,407
w_9361,33
w_4721,49
w_6779,137
w_4508,75
w_5560,209
w_8100,199
w_5806,299
w_870,36
w_8982,63
w_7446,391
w_8343,19
w_615,183
w_4222,299
w_5487,372
w_40,437
w_8890,60
w_8908,252
w_3428,263
w_8799,156
w_4078,169
w_9258,165
w_669,27
w_6039,197
w_5255,363
w_1184,294
w_5253,197
w_541,230
w_5614,30
w_5413,35
w_5302,360
w_8988,254
w_6368,99
w_2894,381
w_1901,248
w_601,176
w_691,163
w_440,183
w_3686,104
w_5919,274
w_2096,444
w_4156,54
w_5541,198
w_4701,62
w_205,344
w_681,240
w_4106,42
w_9314,159
w_2760,424
w_5653,343
w_9144,72
w_3667,352
w_4623,158
w_4225,169
w_7890,298
w_7946,51
w_5582,357
w_4399,436
w_1933,150
w_6561,120
w_2718,391
w_333,49
w_1915,290
w_3607,236
w_5829,435
w_7117,372
w_8210,209
w_2534,41
w_1193,313
w_753,56
w_3699,29
w_1227,300
w_4147,36
w_4973,32
w_7918,360
w_4070,414
w_2557,374
w_3908,316
w_2572,8
w_3967,67
w_5283,299
w_1904,281
w_5940,198
w_15,220
w_7614,182
w_1251,229
w_6315,93
w_6129,172
w_4337,147
w_7631,51
w_445,19
w_7779,435
w_5941,59
w_2256,242
w_4791,194
w_8990,163
w_2139,364
w_4051,58
w_7268,223
w_4471,28
w_1084,69
w_1620,380
w_617,408
w_7727,110
w_8867,44
w_4902,170
w_1556,346
w_7498,380
w_6500,347
w_9463,223
w_612,293
w_9393,446
w_6040,32
w_5169,438
w_8457,260
w_5930,266
w_7455,279
w_7832,3
w_3405,122
w_7808,267
w_441,22
w_8589,183
w_9113,114
w_3348,77
w_861,390
w_6676,31
w_5313,190
w_2863,87
w_2660,349
w_7891,363
w_6710,129
w_7266,79
w_2002,361
w_437,442
w_3709,343
w_1390,387
w_1667,443
w_4884,346
w_6,187
w_2046,158
w_4346,43
w_3421,361
w_7542,407
w_7664,315
w_7799,157
w_9241,315
w_9206,0
w_2358,315
w_6154,435
w_6976,140
w_7713,115
w_4449,326
w_213,142
w_3877,355
w_5448,368
w_6962,351
w_7798,154
w_4451,62
w_7556,435
w_1261,135
w_7972,167
w_1848,102
w_1085,45
w_5419,168
w_5008,393
w_613,190
w_4780,176
w_7970,66
w_8987,354
w_1789,227
w_4695,172
w_8432,190
w_2823,45
w_8772,286
w_5877,163
w_8275,21
w_5391,182
w_3359,9
w_9375,190
w_1403,117
w_2437,223
w_8220,295
w_9360,225
w_8358,81
w_815,129
w_8596,237
w_5559,46
w_7815,106
w_1191,337
w_9309,278
w_6822,189
w_2575,198
w_6719,216
w_5512,50
w_6761,202
w_215,7
w_8193,262
w_2571,393
w_903,32
w_1041,55
w_367,51
w_3887,222
w_6159,428
w_397,248
w_6703,326
w_5404,77
w_6928,56
w_8567,312
w_8883,286
w_5539,163
w_2749,71
w_6334,213
w_3238,295
w_5202,416
w_1384,352
w_3768,416
w_6385,9
w_8472,437
w_5275,368
w_173,147
w_9274,312
w_4932,341
w_5418,135
w_1252,231
w_1628,109
w_7561,436
w_6806,370
w_4761,28
w_6833,79
w_6794,443
w_1708,147
w_6735,346
w_3076,426
w_6863,82
w_22,380
w_6194,330
w_5297,303
w_2929,312
w_4951,172
w_3783,170
w_6272,111
w_6795,80
w_7150,72
w_1137,192
w_8884,132
w_5469,163
w_3514,212
w_5121,182
w_8029,83
w_7444,445
w_8887,268
w_7855,414
w_5111,99
w_5882,430
w_5527,251
w_1822,275
w_4087,369
w_767,269
w_9343,416
w_4811,435
w_7245,346
w_4875,166
w_8717,410
w_954,117
w_4962,121
w_5506,239
w_1031,262
w_8042,378
w_4642,135
w_209,275
w_5330,95
w_4485,288
w_9265,210
w_6666,334
w_8293,198
w_4804,219
w_4526,286
w_1987,158
w_7520,266
w_6916,208
w_2431,393
w_7379,413
w_4230,32
w_1547,6
w_6502,143
w_6007,289
w_5666,111
w_6748,390
w_8801,80
w_5162,279
w_4988,176
w_5753,33
w_1121,83
w_1198,99
w_5224,149
w_230,372
w_1475,31
w_8277,166
w_7595,140
w_7647,329
w_3637,208
w_2690,169
w_2915,170
w_282,150
w_4941,251
w_6529,120
w_8692,191
w_1196,416
w_3672,70
w_2995,441
w_8609,171
w_9004,180
w_7864,0
w_4009,240
w_689,172
w_4992,299
w_7786,73
w_9190,209
w_4289,176
w_6078,154
w_1369,20
w_3670,421
w_3046,226
w_5358,332
w_974,354
w_1724,241
w_8451,346
w_5707,135
w_7440,15
w_4246,88
w_5904,53
w_9018,132
w_4585,315
w_2290,56
w_9296,159
w_3687,318
w_7996,68
w_1211,327
w_6120,277
w_3431,202
w_7700,343
w_1166,255
w_1240,76
w_2602,326
w_316,107
w_3646,104
w_1575,143
w_7251,32
w_1761,278
w_8897,360
w_5953,128
w_4401,31
w_8713,115
w_8380,433
w_6680,279
w_6742,31
w_7563,176
w_9279,46
w_2587,90
w_442,252
w_5160,253
w_5631,270
w_6545,203
w_7725,140
w_1143,183
w_5677,300
w_8505,34
w_369,372
w_6948,163
w_8878,349
w_7473,129
w_7987,50
w_2300,82
w_8003,438
w_6090,411
w_7901,193
w_5838,349
w_6152,38
w_7101,194
w_4891,270
w_9415,22
w_6176,252
w_4976,9
w_4268,17
w_4696,336
w_3025,429
w_3620,222
w_8235,116
w_5771,331
w_1783,40
w_7325,17
w_6980,189
w_1271,17
w_5883,261
w_5689,163
w_2976,184
w_8376,156
w_2455,400
w_7415,361
w_3255,87
w_7193,270
w_8270,325
w_3730,217
w_8592,42
w_8099,267
w_6450,434
w_448,190
w_1011,85
w_398,321
w_5737,266
w_1037,274
w_8961,74
w_3617,424
w_4590,106
w_4281,362
w_3452,286
w_7204,261
w_7912,61
w_4160,435
w_4460,117
w_8385,240
w_4863,172
w_375,325
w_3137,129
w_2369,24
w_7962,366
w_2474,236
w_2032,354
w_9224,340
w_823,420
w_8500,350
w_83,176
w_7022,21
w_5366,284
w_4795,236
w_7845,182
w_1231,280
w_8074,223
w_2454,105
w_2629,176
w_1579,39
w_6862,241
w_5706,229
w_2194,213
w_530,222
w_88,90
w_4714,335
w_116,387
w_4733,248
w_7494,325
w_8303,351
w_941,223
w_7715,360
w_3155,80
w_6647,296
w_4126,435
w_124,381
w_8590,65
w_8787,350
w_1928,171
w_2231,284
w_531,135
w_7417,313
w_1908,382
w_7844,51
w_6232,442
w_1930,189
w_2755,404
w_6405,326
w_7671,234
w_9327,146
w_8621,183
w_3778,199
w_1586,86
w_3454,435
w_5168,193
w_2134,231
w_9215,253
w_2356,240
w_2617,170
w_6602,203
w_8628,299
w_853,373
w_686,36
w_5942,426
w_5005,357
w_4402,332
w_4242,183
w_18,290
w_5780,366
w_3840,383
w_8086,366
w_4945,403
w_5922,19
w_658,106
w_1357,426
w_872,129
w_5024,254
w_643,426
w_2472,308
w_3245,326
w_677,238
w_3340,175
w_8180,62
w_6063,348
w_6023,175
w_7628,50
w_5119,373
w_2242,305
w_4924,118
w_5170,51
w_8779,22
w_5984,272
w_7123,446
w_5497,87
w_5803,237
w_3708,265
w_805,132
w_3439,208
w_797,443
w_7252,127
w_771,259
w_3668,6
w_9073,292
w_71,23
w_5252,37
w_4687,232
w_5055,59
w_3739,192
w_5790,357
w_6751,364
w_5718,176
w_4318,241
w_7084,111
w_1835,86
w_5201,283
w_3825,141
w_6864,390
w_7623,180
w_492,176
w_5214,84
w_2772,177
w_8703,400
w_4326,109
w_5519,35
w_2865,121
w_4138,252
w_3092,80
w_9054,357
w_6278,352
w_4916,236
w_3889,295
w_2011,413
w_6880,286
w_2293,33
w_2817,299
w_9434,442
w_2649,266
w_5680,107
w_7127,330
w_1122,326
w_8653,246
w_2187,301
w_5728,22
w_3684,173
w_1676,146
w_6125,141
w_551,55
w_2840,194
w_407,366
w_5590,309
w_4132,121
w_6799,80
w_8264,322
w_7964,333
w_2963,344
w_763,402
w_2320,165
w_467,119
w_700,168
w_6631,317
w_3653,50
w_716,272
w_3438,160
w_2553,142
w_919,410
w_854,371
w_7090,416
w_6914,315
w_5637,145
w_1294,409
w_1278,308
w_6594,112
w_2631,31
w_7124,147
w_2702,424
w_6550,165
w_8647,234
w_2560,12
w_3918,322
w_2939,176
w_5059,202
w_4019,2
w_5655,234
w_5083,245
w_8138,71
w_5731,393
w_4705,259
w_3374,128
w_4079,419
w_5862,231
w_5113,47
w_424,252
w_2686,409
w_3271,432
w_151,214
w_5154,60
w_9066,46
w_7537,349
w_3843,405
w_2439,296
w_6608,232
w_7412,31
w_3961,171
w_8929,202
w_7318,23
w_8597,161
w_1883,330
w_2689,337
w_570,364
w_7503,354
w_4467,248
w_4185,329
w_2058,208
w_6614,385
w_3766,270
w_971,346
w_3013,109
w_4083,323
w_4141,307
w_6569,113
w_6896,317
w_4286,290
w_8677,336
w_6906,6
w_1064,238
w_947,20
w_2638,149
w_4604,372
w_7504,85
w_6035,172
w_5025,188
w_8190,183
w_7099,52
w_1253,240
w_6777,32
w_3382,359
w_5304,50
w_1755,262
w_4644,265
w_8812,192
w_5199,102
w_8048,410
w_3563,357
w_8196,134
w_4571,111
w_3523,259
w_1815,326
w_5995,49
w_5793,420
w_2839,209
w_3585,310
w_1299,333
w_5682,362
w_5642,197
w_6048,239
w_3277,135
w_311,421
w_9193,94
w_7389,416
w_60,381
w_7706,133
w_2574,344
w_562,240
w_1458,131
w_2374,324
w_2488,136
w_6520,357
w_3038,425
w_3576,16
w_3833,379
w_4023,59
w_4439,150
w_4747,241
w_1104,176
w_9013,242
w_2639,86
w_391,212
w_7723,355
w_3535,2
w_1951,424
w_2699,361
w_6576,312
w_1566,166
w_327,414
w_6214,292
w_5989,343
w_703,95
w_7510,299
w_2524,389
w_2538,389
w_2542,212
w_5927,172
w_4119,48
w_741,24
w_8087,265
w_2838,289
w_6412,374
w_3721,261
w_4413,55
w_3502,176
w_8954,325
w_2768,104
w_7825,409
w_5310,260
w_1912,281
w_3733,0
w_4700,246
w_3030,391
w_5200,444
w_8629,158
w_8968,155
w_2921,160
w_6162,165
w_5960,321
w_7937,233
w_1781,2
w_7438,374
w_1314,38
w_7511,379
w_5654,323
w_2407,338
w_2546,157
w_9377,374
w_6673,307
w_8172,85
w_5635,356
w_3375,335
w_464,200
w_5600,203
w_1409,400
w_7145,260
w_3950,341
w_6817,263
w_3910,427
w_5509,427
w_654,49
w_427,138
w_1053,34
w_3956,47
w_2808,107
w_496,432
w_3108,85
w_6212,88
w_7960,137
w_122,180
w_6555,259
w_7841,57
w_7362,315
w_1803,209
w_1752,163
w_8247,199
w_5697,149
w_500,158
w_3852,299
w_6573,315
w_881,8
w_1515,24
w_4187,131
w_1250,351
w_394,389
w_458,144
w_9005,189
w_8837,323
w_130,373
w_1062,161
w_3286,24
w_5375,327
w_1668,280
w_4864,374
w_7326,327
w_7765,298
w_874,381
w_4986,15
w_8631,213
w_1090,104
w_1871,59
w_2083,156
w_7877,348
w_7492,129
w_8869,302
w_916,283
w_476,296
w_4444,389
w_3139,253
w_9382,21
w_3306,211
w_8496,368
w_6406,176
w_8105,387
w_8102,272
w_3503,33
w_6257,323
w_7133,31
w_5992,145
w_4238,311
w_3538,50
w_6058,47
w_9424,356
w_1050,365
w_659,286
w_2510,53
w_8233,164
w_341,231
w_6246,407
w_1449,157
w_2355,292
w_280,8
w_4715,241
w_2490,108
w_7956,218
w_2406,315
w_8519,300
w_5163,177
w_6297,266
w_3749,152
w_5937,292
w_7596,234
w_4474,127
w_6113,128
w_2079,305
w_473,288
w_3671,407
w_7552,1
w_2762,182
w_8016,81
w_6260,175
w_8695,200
w_1897,222
w_4822,323
w_2347,172
w_4800,12
w_6139,241
w_5700,120
w_438,292
w_2389,176
w_3402,7
w_4852,191
w_5285,299
w_6174,189
w_980,236
w_8512,252
w_1129,382
w_2191,255
w_8700,65
w_5505,49
w_2433,400
w_5949,245
w_2304,129
w_7582,293
w_58,138
w_963,156
w_8351,241
w_8268,172
w_5352,178
w_6888,160
w_249,416
w_2099,85
w_1941,414
w_1405,40
w_3630,387
w_5813,285
w_2286,230
w_6300,143
w_8479,155
w_2603,255
w_232,341
w_8843,49
w_7459,254
w_7543,87
w_4859,400
w_6997,275
w_2519,323
w_6451,128
w_4250,260
w_81,126
w_2115,72
w_8524,6
w_4248,320
w_4425,295
w_8738,110
w_3513,81
w_1863,260
w_5218,24
w_4985,265
w_5298,344
